Time,3D wind speed (m/s),Wind direction (deg),u (m/s),v (m/s),w (m/s),temp (degC),Drive tracker angle (deg),Drive torque north (kNm),Panel defl mid (mm),Drag force (kN),Lift force (kN),Drag force tracker angle (kN),Lift force tracker angle (kN)
2019-11-15 22:12:38.000000,5.245312,276.03152,-5.178524,0.5471655,-0.62992036,13.914956,10.386268,-0.9032351,0.058496643,0.19034602,1.0795059,0.19761929,1.0781982
2019-11-15 22:12:38.020001,5.2455506,276.03705,-5.178727,0.5476914,-0.62977767,13.913,10.385771,-0.9109917,0.01292097,0.19198065,1.0887764,0.19930694,1.0874591
2019-11-15 22:12:38.040001,5.2447863,276.0276,-5.1780553,0.54675645,-0.62975043,13.91275,10.385329,-0.9121108,0.059381988,0.19221649,1.0901139,0.19954339,1.0887965
2019-11-15 22:12:38.060002,5.245751,276.03085,-5.178951,0.54714817,-0.6300798,13.913075,10.382515,-0.9195973,-0.003837904,0.19379418,1.0990614,0.2011273,1.097743
2019-11-15 22:12:38.080003,5.245764,276.03177,-5.1789737,0.5472355,-0.62992245,13.912499,10.384336,-0.933374,-0.00416697,0.19669744,1.1155266,0.20417583,1.1141821
2019-11-15 22:12:38.100003,5.87921,285.80267,-5.629922,1.5933919,-0.57462347,13.793167,10.388033,-0.92364925,0.03181094,0.19464806,1.103904,0.20211968,1.1025605
2019-11-15 22:12:38.120004,5.8788843,285.79657,-5.629793,1.592706,-0.57444936,13.792265,10.386102,-0.9110303,0.058206752,0.19198877,1.0888224,0.19932166,1.0875039
2019-11-15 22:12:38.140005,5.880125,285.79794,-5.630941,1.5931756,-0.5745985,13.792339,10.381577,-0.8865256,0.056757294,0.1868247,1.0595355,0.19387676,1.0582678
2019-11-15 22:12:38.160005,5.8795233,285.7936,-5.6304765,1.592586,-0.5746262,13.791011,10.384171,-0.85245043,0.05244026,0.17964377,1.0188104,0.18647084,1.017583
2019-11-15 22:12:38.180006,5.879799,285.79617,-5.6306896,1.592919,-0.5744355,13.792239,10.385826,-0.8451569,-0.00504448,0.17810674,1.0100936,0.18490456,1.0088713
2019-11-15 22:12:38.200007,5.879448,285.797,-5.6303287,1.5929037,-0.5744263,13.792239,10.384005,-0.8134744,-0.004637065,0.17143004,0.972228,0.17794214,0.97105724
2019-11-15 22:12:38.220007,5.8799744,285.79727,-5.6308093,1.5930687,-0.57464516,13.792541,10.385826,-0.80456007,0.012035625,0.16955145,0.961574,0.17602274,0.96041054
2019-11-15 22:12:38.240008,5.87906,285.80658,-5.629687,1.5937399,-0.5744247,13.793919,10.387592,-0.7770067,-0.020565437,0.1637449,0.9286434,0.17002316,0.92751443
2019-11-15 22:12:38.260009,5.879661,285.78983,-5.6307173,1.5922511,-0.5746034,13.791939,10.381081,-0.7727232,-0.020526264,0.1628422,0.92352396,0.16898103,0.9224205
2019-11-15 22:12:38.280009,5.8792353,285.79294,-5.6302295,1.5924436,-0.57450044,13.793894,10.392889,-0.77013767,-0.03341469,0.16229734,0.9204339,0.16860509,0.91929936
2019-11-15 22:12:38.300010,5.8800244,285.79874,-5.6308336,1.5932324,-0.5744659,13.791788,10.382736,-0.7739581,-0.019115979,0.16310245,0.92499983,0.16927777,0.9238898
2019-11-15 22:12:38.320011,5.8792977,285.79037,-5.6303434,1.5922034,-0.57468504,13.791939,10.386985,-0.778203,0.027956164,0.16399701,0.93007326,0.17027508,0.9289444
2019-11-15 22:12:38.340011,5.881867,285.96304,-5.624013,1.6087357,-0.6154735,13.787501,10.381412,-0.80000645,-0.0051149945,0.16859183,0.9561317,0.1749529,0.9549883
2019-11-15 22:12:38.360012,5.8432436,283.28757,-5.6868067,1.3430005,0.008888008,13.84115,10.384005,-0.8079946,-0.0657572,0.17027523,0.9656788,0.17674346,0.9645159
2019-11-15 22:12:38.380013,5.8429427,283.29025,-5.686451,1.3431971,0.008875275,13.84105,10.384005,-0.81250966,-0.035506614,0.17122672,0.97107494,0.17773111,0.9699057
2019-11-15 22:12:38.400013,5.8430057,283.29013,-5.686515,1.3432007,0.00887844,13.841176,10.38246,-0.8174492,-0.013075263,0.17226768,0.9769785,0.1787853,0.9758069
2019-11-15 22:12:38.420014,5.8427672,283.28702,-5.6863556,1.3428367,0.008770671,13.840899,10.390738,-0.81150633,-0.0051855086,0.17101529,0.9698759,0.17762548,0.968687
2019-11-15 22:12:38.440015,5.843131,283.29514,-5.686519,1.3437256,0.009013665,13.840624,10.383398,-0.82265884,-0.003924088,0.17336555,0.9832048,0.17994078,0.98202276
2019-11-15 22:12:38.460015,5.843206,283.28958,-5.6867223,1.3431925,0.008805088,13.842003,10.386819,-0.82408667,-0.004605725,0.17366645,0.98491126,0.18031183,0.9837164
2019-11-15 22:12:38.480016,5.843231,283.28647,-5.6868196,1.3428891,0.008940163,13.840724,10.386102,-0.81918573,-0.02642595,0.17263362,0.979054,0.17922726,0.9778684
2019-11-15 22:12:38.500017,5.8434315,283.28824,-5.6869736,1.3431114,0.008882156,13.841101,10.38406,-0.8240481,-0.004958296,0.17365831,0.9848652,0.18025602,0.9836791
2019-11-15 22:12:38.520017,5.843557,283.29352,-5.686971,1.3436636,0.00906036,13.841426,10.38726,-0.8302997,0.010797709,0.17497577,0.9923368,0.18167888,0.9911315
2019-11-15 22:12:38.540018,5.8431683,283.2923,-5.686622,1.3434521,0.008943136,13.840799,10.386819,-0.8170247,-0.0054518953,0.17217821,0.9764711,0.17876664,0.9752865
2019-11-15 22:12:38.560019,5.84283,283.29364,-5.6862617,1.3435074,0.008776903,13.839797,10.3896885,-0.83882815,0.000996236,0.17677304,1.0025296,0.18358745,1.0013043
2019-11-15 22:12:38.580019,5.843018,283.28622,-5.686618,1.3428156,0.008918355,13.840799,10.384336,-0.8362812,-0.0044803666,0.17623629,0.9994856,0.18293674,0.998281
2019-11-15 22:12:38.600020,5.659502,294.23074,-5.1607676,2.322671,0.040538948,13.620486,10.381467,-0.8325765,0.0273137,0.17545559,0.995058,0.18207659,0.9938678
2019-11-15 22:12:38.620021,5.6600533,294.23532,-5.161085,2.3233082,0.040522087,13.619634,10.386985,-0.8196874,0.026224649,0.17273936,0.97965354,0.17935209,0.97846454
2019-11-15 22:12:38.640021,5.6604543,294.2386,-5.1613183,2.3237684,0.04043577,13.621388,10.386819,-0.8184911,0.027015975,0.17248726,0.97822374,0.1790875,0.97703695
2019-11-15 22:12:38.660022,5.660404,294.22684,-5.161749,2.3226895,0.0404146,13.620336,10.387095,-0.818221,0.026459696,0.17243032,0.9779009,0.17903312,0.97671366
2019-11-15 22:12:38.680023,5.660329,294.24005,-5.161146,2.3238478,0.040348656,13.620035,10.385329,-0.8249357,-0.0013385674,0.17384535,0.985926,0.180472,0.98473454
2019-11-15 22:12:38.700023,5.660304,294.23993,-5.1611276,2.3238275,0.040401995,13.620888,10.385274,-0.84222406,0.028144201,0.17748868,1.0065883,0.1842532,1.005372
2019-11-15 22:12:38.720024,5.6600657,294.23413,-5.1611443,2.3232074,0.040453803,13.621088,10.385937,-0.84650755,0.056812137,0.17839138,1.0117078,0.18520202,1.0104831
2019-11-15 22:12:38.740025,5.6594896,294.2386,-5.1604385,2.3233724,0.040467516,13.619985,10.386323,-0.8693915,0.058669012,0.1832139,1.0390576,0.19021563,1.0377986
2019-11-15 22:12:38.760025,5.6598277,294.23926,-5.160721,2.3235705,0.04039562,13.619509,10.3857155,-0.8842101,0.07397843,0.18633674,1.0567682,0.19344662,1.0554898
2019-11-15 22:12:38.780026,5.6601033,294.2417,-5.1608715,2.3239048,0.040480826,13.619835,10.384171,-0.9133843,0.09051792,0.19248487,1.0916358,0.19979994,1.0903207
2019-11-15 22:12:38.800027,5.660091,294.24466,-5.16074,2.324165,0.040566947,13.620862,10.386378,-0.91909564,0.08660047,0.19368845,1.0984617,0.20109154,1.0971307
2019-11-15 22:12:38.820027,5.659402,294.22885,-5.160754,2.3224578,0.040481754,13.619784,10.3857155,-0.9166645,0.09012618,0.19317612,1.0955561,0.20054697,1.0942309
2019-11-15 22:12:38.840028,5.666733,294.28262,-5.1652713,2.3303251,0.037626404,13.620135,10.385605,-0.8981026,0.08928001,0.18926442,1.0733718,0.19648394,1.0720737
2019-11-15 22:12:38.860029,5.0624857,290.53687,-4.7319727,1.7726817,0.30788627,13.595016,10.385274,-0.893163,0.08967175,0.18822345,1.0674683,0.19539712,1.0661786
2019-11-15 22:12:38.880029,5.062335,290.55078,-4.7314076,1.7737821,0.307763,13.59667,10.386268,-0.8767622,0.059084263,0.18476719,1.0478667,0.19182728,1.0465974
2019-11-15 22:12:38.900030,5.062072,290.53983,-4.7314925,1.7727822,0.30788767,13.596294,10.384336,-0.85727423,0.088378996,0.18066032,1.0245756,0.187529,1.0233407
2019-11-15 22:12:38.920031,5.0628366,290.54227,-4.7321343,1.7732517,0.30789438,13.597221,10.388088,-0.83801776,0.08786189,0.17660224,1.0015612,0.18338215,1.0003419
2019-11-15 22:12:38.940031,5.0627613,290.53995,-4.7321377,1.7730343,0.30785528,13.596795,10.382018,-0.8186069,0.10386861,0.17251165,0.97836214,0.17903098,0.97719026
2019-11-15 22:12:38.960032,5.0625234,290.54065,-4.731886,1.7730068,0.3079682,13.595868,10.384391,-0.7865385,0.10589785,0.1657536,0.9400354,0.17205642,0.9389022
2019-11-15 22:12:38.980033,5.0628867,290.53348,-4.7324543,1.7725456,0.3078682,13.596419,10.387426,-0.7651209,0.094654754,0.16124012,0.9144381,0.16741969,0.913327
2019-11-15 22:12:39.000033,5.0623603,290.54065,-4.731735,1.7729502,0.3079344,13.598149,10.387095,-0.73197204,0.10542776,0.15425438,0.87482005,0.16016117,0.87375796
2019-11-15 22:12:39.020034,5.062097,290.53738,-4.7315893,1.772587,0.30793166,13.596093,10.379867,-0.7219772,0.10675186,0.15214808,0.8628747,0.1578655,0.861847
2019-11-15 22:12:39.040035,5.06226,290.539,-4.73169,1.7727789,0.3079734,13.596695,10.383398,-0.7006368,0.10657166,0.14765085,0.8373696,0.15325081,0.83636284
2019-11-15 22:12:39.060035,5.0617085,290.53983,-4.731162,1.7726583,0.30770633,13.594865,10.382626,-0.6913752,0.15058035,0.14569908,0.82630056,0.15121388,0.82530916
2019-11-15 22:12:39.080036,5.062147,290.53983,-4.7315617,1.7728082,0.30790815,13.596244,10.385385,-0.67717403,0.15815671,0.14270636,0.8093279,0.14814681,0.8083498
2019-11-15 22:12:39.100037,4.9400496,287.2356,-4.702854,1.4589792,-0.39828223,13.793092,10.385495,-0.68358,0.104252525,0.14405634,0.816984,0.14954983,0.81599635
2019-11-15 22:12:39.120037,4.9406385,287.2468,-4.7032084,1.4600971,-0.39731055,13.791537,10.383067,-0.6887125,0.10397047,0.14513794,0.82311815,0.15063785,0.82212937
2019-11-15 22:12:39.140038,4.940563,287.24896,-4.7030845,1.4602529,-0.39726692,13.792239,10.386212,-0.6889054,0.13747254,0.1451786,0.82334876,0.15072519,0.82235146
2019-11-15 22:12:39.160039,4.9404254,287.24112,-4.703148,1.459567,-0.3973263,13.791437,10.3855505,-0.7012929,0.13638349,0.1477891,0.8381537,0.15342575,0.8371402
2019-11-15 22:12:39.180039,4.939824,287.24814,-4.702395,1.4599651,-0.3972967,13.793919,10.383122,-0.7093196,0.16882002,0.14948064,0.8477469,0.15514591,0.8467284
2019-11-15 22:12:39.200040,4.940676,287.2403,-4.7033997,1.4595712,-0.3974498,13.791111,10.381412,-0.7232506,0.08596584,0.15241645,0.86439663,0.15816721,0.86336285
2019-11-15 22:12:39.220041,4.940551,287.24692,-4.703107,1.4600754,-0.39750308,13.79239,10.385605,-0.73999876,0.105615795,0.15594591,0.8844132,0.16189452,0.88334364
2019-11-15 22:12:39.240041,4.9407387,287.24908,-4.7032285,1.4603074,-0.3975487,13.791312,10.387095,-0.7511513,0.13288128,0.1582962,0.8977423,0.16435777,0.89665234
2019-11-15 22:12:39.260042,4.94025,287.24234,-4.7029495,1.4596161,-0.3973098,13.791863,10.381412,-0.75794315,0.15623716,0.15972748,0.90585953,0.1657541,0.9047762
2019-11-15 22:12:39.280043,4.9401374,287.24936,-4.7026567,1.4601569,-0.39738998,13.79259,10.386102,-0.77017623,0.16957217,0.16230546,0.92047995,0.16850461,0.91936535
2019-11-15 22:12:39.300043,4.94015,287.24207,-4.70286,1.4595636,-0.3973182,13.793844,10.385329,-0.7739581,0.105929196,0.16310245,0.92499983,0.16931956,0.9238821
2019-11-15 22:12:39.320044,4.9403253,287.24774,-4.702874,1.460077,-0.39744502,13.791362,10.382626,-0.78179187,0.10174535,0.16475332,0.9343625,0.17098933,0.9332414
2019-11-15 22:12:39.340045,4.943546,287.3138,-4.7040668,1.4663984,-0.40009832,13.790209,10.38864,-0.7923656,0.07312442,0.16698162,0.9469997,0.17340127,0.94584537
2019-11-15 22:12:39.360045,4.1458325,271.0271,-4.1431503,0.07427901,0.12928984,13.596444,10.38544,-0.80386543,0.0739941,0.16940506,0.96074384,0.17586428,0.9595825
2019-11-15 22:12:39.380046,4.146547,271.02264,-4.1438675,0.07396968,0.12939918,13.596595,10.386709,-0.8123939,0.10405665,0.17120233,0.97093666,0.17775157,0.96975905
2019-11-15 22:12:39.400047,4.146246,271.01645,-4.1435747,0.07351581,0.12937455,13.596144,10.386765,-0.8309943,0.13408002,0.17512216,0.99316704,0.1818223,0.99196225
2019-11-15 22:12:39.420047,4.1460705,271.02737,-4.1433835,0.07430296,0.12942785,13.595642,10.384667,-0.83361846,0.17049669,0.17567515,0.99630326,0.18236005,0.99510145
2019-11-15 22:12:39.440048,4.146183,271.02063,-4.143514,0.07381713,0.12912445,13.596119,10.388033,-0.82771415,0.13697112,0.17443089,0.9892467,0.18112648,0.9880427
2019-11-15 22:12:39.460049,4.14681,271.02875,-4.1441264,0.07441511,0.12927896,13.596369,10.384943,-0.83848083,0.13683791,0.17669983,1.0021145,0.18342853,1.0009048
2019-11-15 22:12:39.480049,4.145682,271.0263,-4.1430016,0.07421903,0.12924814,13.597523,10.381356,-0.83404297,0.10642279,0.17576462,0.9968107,0.18239537,0.9956187
2019-11-15 22:12:39.500050,4.146584,271.01874,-4.1439104,0.0736878,0.12936333,13.597297,10.385495,-0.84388345,0.10454241,0.17783839,1.0085716,0.18462013,1.0073522
2019-11-15 22:12:39.520051,4.146196,271.02118,-4.1435246,0.073856845,0.12918362,13.597046,10.384557,-0.849479,0.08884125,0.17901757,1.015259,0.18582767,1.0140347
2019-11-15 22:12:39.540051,4.1462083,271.02982,-4.143522,0.07448134,0.12931897,13.594689,10.385054,-0.84816694,0.10607806,0.17874107,1.013691,0.18554944,1.0124669
2019-11-15 22:12:39.560052,4.1465592,271.0267,-4.143878,0.0742624,0.12929726,13.595491,10.382681,-0.8654553,0.12721665,0.18238439,1.0343533,0.18928877,1.0331122
2019-11-15 22:12:39.580053,4.1456695,271.02264,-4.142997,0.07395414,0.12917593,13.595818,10.386157,-0.87518007,0.15409823,0.18443377,1.0459759,0.1914791,1.0447091
2019-11-15 22:12:39.600053,4.9120035,288.34506,-4.660109,1.5452513,-0.1528328,13.497995,10.384667,-0.8790005,0.15337741,0.18523887,1.0505419,0.1922877,1.0492746
2019-11-15 22:12:39.620054,4.9157753,288.42627,-4.6614547,1.5530335,-0.15418018,13.497995,10.385274,-0.89161944,0.15176342,0.18789816,1.0656234,0.19505943,1.064336
2019-11-15 22:12:39.640055,4.916477,288.43423,-4.661904,1.553904,-0.15422796,13.497369,10.384115,-0.8878762,0.15136383,0.18710932,1.0611497,0.1942191,1.0598714
2019-11-15 22:12:39.660055,4.916665,288.43314,-4.662112,1.5538723,-0.15422684,13.498422,10.384005,-0.88695,0.10454241,0.18691415,1.0600427,0.19401446,1.0587662
2019-11-15 22:12:39.680056,4.9154873,288.43356,-4.6609836,1.5535357,-0.1542016,13.498322,10.384501,-0.8800424,0.16792685,0.18545844,1.051787,0.19251257,1.0505189
2019-11-15 22:12:39.700057,4.9162517,288.4264,-4.6618977,1.5531908,-0.1544013,13.498422,10.3855505,-0.8693915,0.15192795,0.1832139,1.0390576,0.19020164,1.0378013
2019-11-15 22:12:39.720057,4.916565,288.42978,-4.662106,1.5535666,-0.15430336,13.497795,10.3829565,-0.8527592,0.13801315,0.17970884,1.0191793,0.18651682,1.0179555
2019-11-15 22:12:39.740058,4.9162393,288.43976,-4.661528,1.5542778,-0.15422519,13.498923,10.38726,-0.8376318,0.10220761,0.17652093,1.0010998,0.18328324,0.9998839
2019-11-15 22:12:39.760059,4.9159884,288.42978,-4.6615644,1.553386,-0.15412596,13.499048,10.38544,-0.84033316,0.13684575,0.1770902,1.0043284,0.18384247,1.0031143
2019-11-15 22:12:39.780059,4.9161015,288.43408,-4.661552,1.5537721,-0.15419744,13.498446,10.382295,-0.82979804,0.090995856,0.17487004,0.9917373,0.18148327,0.9905485
2019-11-15 22:12:39.800060,4.9160385,288.42438,-4.661754,1.5529625,-0.1542517,13.498397,10.387205,-0.8372073,0.08921733,0.17643146,1.0005925,0.18318938,0.9993774
2019-11-15 22:12:39.820061,4.915525,288.4226,-4.661314,1.5526556,-0.1542637,13.497569,10.3869295,-0.8367057,0.124827,0.17632575,0.99999297,0.18307482,0.9987795
2019-11-15 22:12:39.840061,4.9170537,288.41776,-4.662915,1.5527493,-0.15364613,13.49975,10.382239,-0.8304927,0.15152837,0.17501643,0.9925675,0.18163423,0.9913778
2019-11-15 22:12:39.860062,5.7453074,280.64587,-5.6436667,1.0608598,0.17933312,13.767395,10.382681,-0.81756496,0.13688493,0.17229207,0.9771169,0.17881438,0.9759444
2019-11-15 22:12:39.880063,5.745696,280.6456,-5.6440597,1.0609058,0.17914315,13.767095,10.3829565,-0.803248,0.16896105,0.16927493,0.9600059,0.17568766,0.95885307
2019-11-15 22:12:39.900063,5.745696,280.6471,-5.6440296,1.0610534,0.17922157,13.767821,10.386985,-0.7999678,0.099457555,0.16858369,0.95608556,0.17503734,0.9549251
2019-11-15 22:12:39.920064,5.745821,280.656,-5.643981,1.0619526,0.1794336,13.7664175,10.385164,-0.7946424,0.1046286,0.16746143,0.9497208,0.17384197,0.9485737
2019-11-15 22:12:39.940065,5.745721,280.65897,-5.6438355,1.062229,0.179159,13.769251,10.384281,-0.7973823,0.10477746,0.16803882,0.9529954,0.17442667,0.95184696
2019-11-15 22:12:39.960065,5.7462597,280.6471,-5.644578,1.0611565,0.17940506,13.7664175,10.384832,-0.795337,0.13749605,0.16760778,0.950551,0.17398843,0.9494038
2019-11-15 22:12:39.980066,5.745934,280.6479,-5.644249,1.0611755,0.17922597,13.766618,10.387757,-0.7859596,0.16596028,0.16563162,0.9393435,0.17198491,0.9382011
2019-11-15 22:12:40.000067,5.7459087,280.6471,-5.6442404,1.061093,0.17917994,13.768423,10.386543,-0.7826023,0.11030891,0.16492411,0.93533105,0.17123048,0.9341972
2019-11-15 22:12:40.020067,5.746285,280.6533,-5.644495,1.0617734,0.17917357,13.768498,10.38704,-0.79421794,0.07274835,0.16737196,0.94921356,0.17378014,0.94806135
2019-11-15 22:12:40.040068,5.745295,280.651,-5.643563,1.061364,0.17921811,13.767195,10.384336,-0.7950669,0.10641496,0.16755086,0.95022815,0.17392111,0.94908285
2019-11-15 22:12:40.060069,5.7451696,280.64465,-5.6435556,1.0607164,0.17925341,13.767546,10.383674,-0.7938706,0.13809934,0.16729878,0.9487985,0.17364848,0.9476569
2019-11-15 22:12:40.080069,5.7447057,280.64264,-5.6431384,1.0604318,0.17919973,13.76722,10.383067,-0.81359017,0.1683891,0.17145443,0.9723664,0.17795159,0.9711984
2019-11-15 22:12:40.100070,5.817804,285.3367,-5.610579,1.5387439,0.022541672,13.744231,10.386709,-0.82126963,0.13314767,0.17307279,0.98154455,0.17969358,0.9803541
2019-11-15 22:12:40.120071,5.818418,285.40506,-5.6093373,1.5456012,0.020875499,13.7423,10.381798,-0.814362,0.16669676,0.17161709,0.9732888,0.17809886,0.9721236
2019-11-15 22:12:40.140071,5.81912,285.399,-5.610178,1.545194,0.020804662,13.744381,10.384888,-0.8155197,0.1377546,0.17186105,0.97467244,0.17840455,0.97349596
2019-11-15 22:12:40.160072,5.81927,285.3979,-5.610352,1.5451268,0.020961078,13.74398,10.386599,-0.804946,0.16819322,0.16963278,0.96203524,0.17612012,0.96086884
2019-11-15 22:12:40.180073,5.819433,285.38977,-5.6107283,1.5443727,0.021068642,13.7421,10.383287,-0.81058013,0.10573332,0.17082009,0.9687689,0.17729692,0.9676046
2019-11-15 22:12:40.200073,5.8189945,285.40274,-5.6099563,1.5455272,0.02074309,13.741874,10.384612,-0.818221,0.104495406,0.17243032,0.9779009,0.17899078,0.9767214
2019-11-15 22:12:40.220074,5.8192954,285.39682,-5.610406,1.5450265,0.02096117,13.743754,10.383177,-0.82431823,0.10693206,0.17371525,0.985188,0.18029995,0.9840043
2019-11-15 22:12:40.240075,5.8184304,285.40234,-5.609422,1.5453398,0.02093055,13.743654,10.385495,-0.8341587,0.15381616,0.175789,0.99694896,0.1824926,0.9957437
2019-11-15 22:12:40.260075,5.8186436,285.40344,-5.6095986,1.5455035,0.020747952,13.742125,10.390682,-0.8366285,0.13790347,0.1763095,0.99990076,0.18312334,0.9986753
2019-11-15 22:12:40.280076,5.818606,285.39923,-5.609676,1.5450816,0.020821163,13.743528,10.3869295,-0.8211538,0.0652425,0.17304838,0.9814061,0.179672,0.9802152
2019-11-15 22:12:40.300077,5.8193455,285.4044,-5.6102495,1.5457835,0.020839091,13.743504,10.386102,-0.81007844,0.08929568,0.17071438,0.96816933,0.1772347,0.96699697
2019-11-15 22:12:40.320077,5.8182926,285.39856,-5.609392,1.5449315,0.020777259,13.742626,10.3869295,-0.8060265,0.058386955,0.16986048,0.96332663,0.17636208,0.9621576
2019-11-15 22:12:40.340078,5.81927,285.39383,-5.6104627,1.5447285,0.020692114,13.742451,10.385991,-0.79182535,0.08379557,0.16686776,0.94635403,0.17323932,0.94520843
2019-11-15 22:12:40.360079,5.0010796,298.32642,-4.352896,2.3463817,0.7467144,13.816657,10.388696,-0.79761386,0.057666145,0.16808762,0.9532722,0.1745507,0.95211
2019-11-15 22:12:40.380079,5.0008664,298.31833,-4.3530455,2.345669,0.74665666,13.816156,10.385385,-0.79082197,0.058073558,0.1666563,0.94515485,0.1730098,0.9440125
2019-11-15 22:12:40.400080,5.0008163,298.32468,-4.3527675,2.3461432,0.74645436,13.816406,10.386874,-0.77882046,0.060173314,0.16412713,0.93081117,0.17040838,0.9296817
2019-11-15 22:12:40.420081,5.001706,298.32144,-4.353638,2.346294,0.74686253,13.817385,10.3869295,-0.7825637,0.07030386,0.16491596,0.9352849,0.1712283,0.93415
2019-11-15 22:12:40.440081,5.001393,298.3221,-4.3533697,2.3462162,0.74657416,13.816582,10.383674,-0.7796694,0.05684348,0.16430603,0.9318258,0.17054217,0.93070465
2019-11-15 22:12:40.460082,5.0015936,298.32413,-4.353463,2.346462,0.74660164,13.81593,10.386268,-0.7844546,0.057352748,0.16531447,0.9375448,0.17163123,0.936409
2019-11-15 22:12:40.480083,5.0014052,298.32547,-4.353237,2.3464742,0.7466177,13.8162565,10.384446,-0.771141,0.05808923,0.16250877,0.921633,0.16868909,0.9205219
2019-11-15 22:12:40.500083,5.001606,298.3224,-4.3535485,2.3463395,0.7465697,13.815178,10.385109,-0.7771225,0.0741743,0.16376929,0.92878187,0.17000829,0.92766017
2019-11-15 22:12:40.520084,5.0014052,298.32034,-4.353444,2.3460822,0.7466436,13.81578,10.384171,-0.7699447,0.07211372,0.16225669,0.92020327,0.16842298,0.91909474
2019-11-15 22:12:40.540085,5.0017314,298.31967,-4.353755,2.3461828,0.74670005,13.815228,10.384943,-0.75794315,0.057235222,0.15972748,0.90585953,0.16580987,0.90476596
2019-11-15 22:12:40.560085,5.0011425,298.33237,-4.3527136,2.346867,0.7466771,13.815704,10.386268,-0.7459031,0.02777596,0.15719017,0.8914698,0.16319652,0.8903898
2019-11-15 22:12:40.580086,5.0011673,298.3171,-4.353365,2.3457234,0.7466367,13.816708,10.387426,-0.73949707,0.025676204,0.15584019,0.8838136,0.16181281,0.88273966
2019-11-15 22:12:40.600087,4.9909163,298.0646,-4.3541284,2.3214312,0.7495123,13.816732,10.385991,-0.7254117,0.05684348,0.15287188,0.8669794,0.15870903,0.8659299
